"original_text","simplified_kindergarten","simplified_primary_school","simplified_secondary_school"
"at existing and planned neutrino factories ( high energy and high intensity neutrino beam facilities ) precision studies of qcd in neutrino - nucleon interactions are a realistic opportunity . we investigate charmonium production in fixed target neutrino experiments . we find that @xmath0 production in neutrino - nucleon collision is dominated by the color octet @xmath1 nrqcd matrix element in a neutral current process , which is not accessible in photo or leptoproduction . neutrino experiments at a future muon collider will acquire sufficient event rate to accurately measure color octet matrix element contributions . the currently running high energy neutrino experiments nomad and nutev could also observe several such events .","at existing factories make special beams of tiny particles. 
we study how these particles interact with other particles.
in a special machine we can see how these particles are made.
we find that some of the tiny particles are made in a certain way.
these tiny particles are very hard to see, but we can still learn about them.
neutrino experiments will help us understand this better.","We have special machines that make tiny particles called neutrinos. These machines are very powerful and can help us learn more about how these particles work.

Scientists want to see if certain kinds of particles called charmonium exist in the world. They do this by sending a beam of neutrinos into a special machine where they collide with other particles.

When scientists look at the results, they find that some of the tiny particles are made up of different colors. This is very important because it helps us understand how these particles work.

In the future, there will be machines called muon colliders that can make even more neutrinos and see if we can find these special particles.","At existing and planned neutrino factories, studying QCD in interactions between neutrinos and nucleons is a realistic opportunity. We investigate how charmonium is produced in fixed-target neutrino experiments. Our research shows that the color octet NRQCD matrix element is dominant in neutral current processes involving neutrinos and nucleons. This process is not accessible in other types of reactions, such as photo or leptoproduction. Future neutrino experiments at a muon collider will be able to measure these contributions accurately. Currently running high-energy neutrino experiments like Nomad and Nutev may also observe several charmonium events."
"I/O may refer to: Input/output, a system of communication for information processing systems Input–output model, an economic model of flow prediction between sectors Industrial and organizational psychology, the field of psychology that studies the workplace Industrial organization, the field of economics that studies the behavior of firms I/O (album), an upcoming album by Peter Gabriel Input/Output (EP), a 2003 EP by The Letterpress I/O (visual novel), a Japanese science fiction visual novel by Regista I/O, a 2004 album by the Canadian rock band Limblifter I/O model, a model of computation Input/Output a contemporary Christian children's song on the 1984 Bill Gaither Trio LP entitled (Ten New Songs With Kids...For Kids About) Life See also IO (disambiguation) Google I/O","I/O is for:
- Getting information
- Sending and getting things to computers
- Making money work
- Understanding people at work","I/O is an important way for computers to talk to each other and get information. It's like a conversation between the computer and the world around it.

There are different ways that computers can talk to each other, including:

* Input: When you give a computer something to do, like typing on a keyboard.
* Output: When a computer shows you something, like pictures or messages.
* A model: This is a way of thinking about how things work in the world. It helps us understand how computers and people can work together.

There are also different types of music that involve talking about computers and technology, including:

* An album by Peter Gabriel called I/O.
* A special kind of song for kids to listen to on a computer.
* Another type of song by a Canadian rock band.","I/O refers to: 

- Input/output systems for information processing
- Economic models of flow between sectors
- Psychology fields that study the workplace and industrial organization
- Fields of economics that study firm behavior
- Albums by Peter Gabriel, The Letterpress, Limblifter, Regista, and other artists"
"(EW.com) -- Monday's Emmy tribute to Robin Williams will be presented by a fellow famed actor-comedian: Billy Crystal. Executive producer Don Mischer announced the programming decision on Tuesday morning, having previously promised that the award ceremony would honor the late performer with ""the proper and meaningful remembrance he so well deserves."" Williams will be honored during the ""In Memoriam"" portion of the show. Sara Bareilles will handle the musical accompaniment to the segment. Bareilles recently dedicated her song ""Hercules"" to Williams (though the song choice for the segment has not yet been announced). Last year, Williams honored Jonathan Winters during the same Emmy segment. The 63-year-old was found dead in his home on August 11. The 66th Primetime Emmy Awards airs August 25 on NBC. Complete coverage on Robin Williams . CLICK HERE to Try 2 RISK FREE issues of Entertainment Weekly . © 2011 Entertainment Weekly and Time Inc. All rights reserved.","Billy Crystal will help show respect for Robin Williams. He is a famous actor who made funny movies. The Emmy award ceremony will honor Robin Williams. Sara Bareilles will sing a song about Robin Williams. Robin Williams died in his home. The Emmy awards are on August 25.","Robin Williams will be honored at the Emmy awards with a special tribute. A famous actor named Billy Crystal is helping to plan it. He said that Robin should get some recognition for his work. The award ceremony will have a part called ""In Memoriam"" where people who are no longer alive will be remembered. Sara Bareilles will play music during this part of the show. She recently sang a song about Robin Williams. Last year, Robin honored someone else named Jonathan Winters at the same Emmy awards. Robin died in his home on August 11. The Emmy awards will be held on August 25 on TV.","Robin Williams will be honored at the 66th Primetime Emmy Awards with a tribute by fellow actor Billy Crystal. Don Mischer announced the decision on Tuesday morning, promising to honor Williams in a meaningful way. The ""In Memoriam"" segment of the show will feature Sara Bareilles performing music for the segment."
"Foreigner, Foreigners or The Foreigner may refer to: Alien (law), a person in a country who has fewer rights than a citizen or national. Music Foreigner (band), an English-American rock band Foreigner (Foreigner album), their 1977 debut album Foreigner (Cat Stevens album), 1973 Literature Foreigner (comics), a Marvel Comics villain Foreigner (Cherryh novel), a 1994 novel set in C. J. Cherryh's Foreigner universe Foreigner (Sawyer novel), a 1994 novel in the Quintaglio Ascension Trilogy by Robert J. Sawyer The Foreigner (novel), a 2008 novel by Francie Lin Film and theatre The Foreigner (1921 film), an American silent film also known as God's Crucible Foreigners (film), a 1972 Swedish film The Foreigner (2003 film), an action film starring Steven Seagal The Foreigner (2017 film), an action-thriller film starring Jackie Chan The Foreigner (play), a 1984 play by Larry Shue Foreigners, a play by Frederick Lonsdale Journalism The Foreigner (newspaper), an online English-language newspaper in Norway See also Foreigners' Street, a Chinese amusement park in Chongqing Stranger","Foreigner: A person who lives in another country. 

Music: A band that plays music.

Alien: A person from space.

Literature: Books about people or places.

Comics: Pictures and stories in books.

Film: Movies made on pictures and sounds.

Theater: Shows with actors, music, and lights.

Novel: A book written by someone else.","Foreigner: 
- A person who lives in another country and doesn't have the same rights as a citizen.
- The band that sings music.
- An album by the band that was released in 1977.
- A book about aliens or people from other countries.
- A comic book character.
- A novel written by someone named Cherryh.
- A movie set in a special world created by Cherryh.
- A film starring Steven Seagal.
- A play with music and characters.
- An online newspaper that writes news for English-speaking people.","Foreigner can refer to:

* A person from another country who has fewer rights than a citizen
* An English-American rock band called Foreigner
* The debut album of the band Foreigner released in 1977
* A Marvel Comics character known as Foreigner
* A novel by C. J. Cherryh set in her Foreigner universe
* A novel by Robert J. Sawyer set in his Quintaglio Ascension Trilogy
* A film starring Steven Seagal, also known as God's Crucible
* A Swedish film released in 1972
* An action film starring Jackie Chan, released in 2003"
"By . Sami Mokbel for MailOnline . On the move: Ignasi Miquel will join Norwich . Arsenal are set to accept a £1.5million offer from Norwich for defender Ignasi Miquel. The Spaniard has struggled to establish himself in the Gunners' first-team and has been told he can leave the Emirates Stadium ahead of Monday's transfer deadline. Manager Arsene Wenger has been forced into rethinking his plan to offload Miquel this summer following the departure of Thomas Vermaelen. The Belgian's exit has left Arsenal short of central-defensive cover, nevertheless the decision has been taken to allow the 21-year-old to leave. It was originally though Miquel's protracted move to Carrow Road would be on loan, but it is understood the Canaries want to take him on a permanent deal. The news means that Arsenal are almost certain to sign a new defender before the transfer window closes on Monday. They have seen attempts to sign Kostas Manolas fail after the Greek defender joined Roma. Arsenal are now weighing up a move for Borussia Dortmund defender Sokratis Papastathopoulos.","Here is the simplified text:

Ignasi Miquel will play for Norwich. They want him to leave Arsenal. Arsene Wenger said he can go. Ignasi Miquel has been playing for Arsenal but not very good. He wants to go home.","Arsenal is getting a new player named Ignasi Miquel. He will be joining Norwich City in England. The team that owns him wants to let him go because he hasn't played well for Arsenal yet. They need someone strong at the back and they think Miquel would be good for them.","Arsenal is set to sign Ignasi Miquel from Norwich City on loan. The 21-year-old has struggled to establish himself in the Gunners' first team and manager Arsene Wenger wants him out of the club ahead of Monday's transfer deadline. Arsenal are looking for a new defender before the end of the transfer window, but they have seen attempts to sign Kostas Manolas fail."
"The 1190s BC is a decade which lasted from 1199 BC to 1190 BC. Events and trends 1197 BC—The beginning of the first period (1197 BC–982 BC) according to Sau Yung's concept of the I Ching and history. 1194 BC—The beginning of the legendary Trojan War. 1192 BC—Wu Ding, king of the Shang dynasty, dies in the fifty-ninth year of his reign, and is succeeded by his son Zu Geng. 1191 BC—Menestheus, legendary King of Athens, dies during the Trojan War after a reign of 23 years and is succeeded by his nephew Demophon, a son of Theseus. Other accounts place his death a decade later and shortly after the Trojan War (see 1180s BC). Significant people Amenemses, Pharaoh of the Nineteenth Dynasty of Egypt (1202 BC–1199 BC) 1190s BC","The 1190s were a time from 1199 to 1190. 
This was when people started writing again.
A long time ago, the I Ching said this happened.
There was a big war in ancient times called the Trojan War.
Wu Ding died and his son took over as king.
Menestheus died during the war and someone else became king.
Demophon became king after Menestheus.","The 1190s BC was a time period that happened from 1197 BC to 1190 BC. 

This was when people started writing down important events and stories in the ancient world. One of these events was the beginning of a war called the Trojan War.

A king named Wu Ding died in 1192 BC, and his son Zu Geng took over as king. A famous king from Athens also died during this time, but it's not clear when he died exactly.

Another important person who lived around this time was Menestheus, a legendary king of Athens. He died after being king for 23 years, but some people said his death happened later and before the Trojan War started.

A pharaoh from Egypt also ruled during this time, and he was in charge of Egypt from 1202 BC to 1199 BC.","The 1190s BC period began around 1197 BC and ended around 1190 BC. This time frame includes events such as:

- The beginning of the first phase of the I Ching's concept of history
- The start of the legendary Trojan War
- Wu Ding, king of the Shang dynasty, died in his 50th year of rule and was succeeded by his son Zu Geng
- Menestheus, a legendary King of Athens, died during the Trojan War after 23 years on the throne."
"shell galaxies are considered the debris of recent accretion / merging episodes . their high frequency in low density environments suggest that such episodes could drive the secular evolution for at least some fraction of the early - type galaxy population . we present here the preliminary results of ultraviolet and x - ray data for a sample of three shell galaxies , namely ngc 474 , ngc 7070a and eso 2400100 . the far uv morphology and photometry are derived using the observations obtained with the _ galaxy evolution explorer _ and the xmm-_newton _ optical monitor . we aim at investigating the _ rejuvenation _ processes in the stellar population using the uv information as well as at gaining information about the possible evolution with time of the x - ray emission due interaction / merging processes .","shell galaxies are like old rocks that have fallen apart. 
they live near other rocks and sometimes they collide.
these collisions make new rocks.","Galaxies that are made up of old stars and gas are called shell galaxies. These galaxies are found in areas where new stars and gas are being added to them. This can happen when two or more galaxies collide and merge together. 

We looked at three special shell galaxies: NGC 474, NGC 7070a, and ESO 2400100. We used special tools to take pictures of these galaxies from space. 

Our goal was to see how the stars in these galaxies are changing over time. We also wanted to know if there is anything that might happen to these galaxies as they get older.","Shell galaxies are thought to be leftovers from recent galaxy mergers. Their presence in low-density areas suggests that these events could shape the early type galaxy population over time. We've analyzed data from three shell galaxies: NGC 474, NGC 7070a, and ESO 2400100. Our research uses observations taken with specialized telescopes to study their ultraviolet and X-ray properties. By examining these features, we aim to understand how shell galaxies change over time and how they interact with other galaxies."
"Bad spellers will rejoice at the autocorrect function on our smartphones. But without total concentration, it has a sneaky habit of twisting your words into something rather rude - even during the season of goodwill. From kissing under the camel toe, to threatening to take the kids to see Satan, damnyouautocorrect.com has put together a collection of text message showing some of the funniest autocorrects sent over the festive period.","Bad people will laugh at the phone. But they don't pay attention, and their words get mixed up. They say bad things even when it's Christmas time.","Bad people who spell badly will be happy when they have a special feature on their phones. But if they don't pay attention, it can make them say silly things that are not nice. It's been found out what kind of funny messages people sent each year during Christmas time.","Bad spellers will be amused by the autocorrect function on smartphones. However, if you're not paying close attention, it can change your words into something rude and even mean-spirited during the holiday season."
"Stovner is a borough located to the far north east of the city of Oslo, Norway. Historically, Stovner was the name of a farm in the municipal borough ""Østre Aker"". Østre Aker merged with Oslo in 1948, both instigated and followed by a massive expansion of the city settlement. Today's Stovner borough is constructed atop the home fields of the Stovner farm, the first record of which dates back to the 14th century, as well as on the fields of several other farms that were situated in the area covered by the borough. The bulk of the modern high-rise structures were built by Selvaag and completed in the first half of the 1970s, together with several schools, a subway line into central Oslo, and an administrative center for the borough. The last three stations of Grorudbanen — Rommen, Stovner and Vestli — are in the Stovner borough. Stovner is the borough in Oslo and Norway with the highest density of immigrants. The proportion of newborns with an immigrant background was per. 2017 at 80%. References Boroughs of Oslo Ethnic enclaves in Norway","Stovner is a town near Oslo, Norway. A long time ago, it was called Stovner. Now it's part of Oslo. Many people live here because they came from other countries.","Stovner is a big area near the city of Oslo in Norway. A long time ago, it was called ""Østre Aker"". This area merged with Oslo and grew bigger. Today, Stovner has many high-rise buildings. The first farms were there a very long time ago, even before 14th century. Many other farms are also near the area. In the 1970s, new big buildings were built, including schools and a subway line to the city center. There are three stations in Stovner: Rommen, Stovner, and Vestli.","Stovner is a part of the city of Oslo, Norway, located to the north-east of the city center. Historically, it was known as Østre Aker, which merged with Oslo in 1948 and expanded rapidly. Today's Stovner borough is built on the fields where the original farm of Stovner was located, dating back to the 14th century. Many modern high-rise buildings were constructed here, along with schools, a subway line, and an administrative center for the borough. The area has a very high concentration of immigrants, with nearly all newborns having immigrant parents in 2017."
"Breguet or Bréguet may refer to: Breguet (watch), watch manufacturer Abraham-Louis Breguet (1747–1823), Swiss watchmaker Louis-François-Clement Breguet (1804–1883), French physicist, watchmaker, electrical and telegraph work Bréguet Aviation, a defunct French aircraft manufacturer Louis Charles Bréguet (1880–1955), French airplane designer Breguet School, now known as École supérieure d'ingénieurs en électronique et électrotechnique (ESIEE)","Breguet is a name.
It's about watches.
There are many people with this name.

Abraham-Louis Breguet was a watch maker.
He made clocks and watches.
He lived a long time ago.

Louis-François-Clement Breguet was also a watch maker.
He made other things besides watches.
He worked on airplanes too.","Breguet is a name that can refer to different things. 

One of the most famous Breguets was an inventor who made clocks and watches. He lived in Switzerland from 1747 until he died in 1823.

Another Breguet was a man who worked with electricity and telegraphs. He also made watches, but not as well-known as his other work.

There were also two brothers named Bréguet who built airplanes. One of them was very good at designing planes.

A school where people learn about electronics and electrical engineering is now called Breguet School.","Breguet is a name that can refer to several things. 

There was an Abraham-Louis Breguet who made watches from 1747 until his death in 1823.

Another person named Louis-François-Clement Breguet worked as a watchmaker and engineer, but there's also a French physicist named Louis Charles Bréguet who designed airplanes.

Breguet is also the name of an aircraft manufacturer that was active until it closed down."
