original_text,simplified_kindergarten,simplified_primary_school,simplified_secondary_school
"at existing and planned neutrino factories ( high energy and high intensity neutrino beam facilities ) precision studies of qcd in neutrino - nucleon interactions are a realistic opportunity . we investigate charmonium production in fixed target neutrino experiments . we find that @xmath0 production in neutrino - nucleon collision is dominated by the color octet @xmath1 nrqcd matrix element in a neutral current process , which is not accessible in photo or leptoproduction . neutrino experiments at a future muon collider will acquire sufficient event rate to accurately measure color octet matrix element contributions . the currently running high energy neutrino experiments nomad and nutev could also observe several such events .","We study the production of charm in experiments of fixed target neutrinos. We find that the production of @xmath0 in neutrinos - nucleonic collision is dominated by the byte color matrix element @xmath1 nrqcd in a neutral current process, which is not accessible in photo or leptoproduction. neutrino experiments at a future muron collision will acquire a sufficient event rate to accurately measure the contributions of byte color matrix elements.","We study the production of charm in experiments of fixed target neutrinos. We find that the production of @xmath0 in neutrinos - nucleonic collision is dominated by the byte color matrix element @xmath1 nrqcd in a neutral current process, which is not accessible in photo or leptoproduction. experiments of neutrinos at a future muron collision will acquire a sufficient event rate to accurately measure the contributions of byte color matrix elements. Experiments of high energy neutrinos currently in nomad and nuev could also observe several of these events.","in existing and planned neutrinos plants (high-energy and high-intensity neutrinos facilities) precision studies of qcd in neutrinos - nucleon interactions are a realistic opportunity. We study the production of charm in fixed target neutrinos experiments. We find that the production of @xmath0 in neutrinos - nucleon collision is dominated by the byte color matrix element @xmath1 nrqcd in a neutral current process, which is not accessible in photo or leptoproduction. experiments from neutrinos to a future collider muron will acquire a sufficient event rate to accurately measure the contributions of byte color matrix elements. Experiments of high-energy neutrinos currently in nomad and nutev could also observe several of these events."
"I/O may refer to: Input/output, a system of communication for information processing systems Input–output model, an economic model of flow prediction between sectors Industrial and organizational psychology, the field of psychology that studies the workplace Industrial organization, the field of economics that studies the behavior of firms I/O (album), an upcoming album by Peter Gabriel Input/Output (EP), a 2003 EP by The Letterpress I/O (visual novel), a Japanese science fiction visual novel by Regista I/O, a 2004 album by the Canadian rock band Limblifter I/O model, a model of computation Input/Output a contemporary Christian children's song on the 1984 Bill Gaither Trio LP entitled (Ten New Songs With Kids...For Kids About) Life See also IO (disambiguation) Google I/O","I/O can refer to: Input/output, a communication system for information processing systems Input-output model, an economic model for the prediction of flows between sectors Industrial and organizational psychology, the field of psychology that studies the working environment Industrial organization, the field of the economy that studies the behaviour of enterprises I/O (album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album album","I/O can refer to: Input/output, a communication system for information processing systems Input-output model, an economic model for the prediction of flows between sectors Industrial and organizational psychology, the field of psychology that studies the working environment Industrial organization, the field of the economy that studies the behavior of enterprises I/O (album album album album album album album album album album album by Peter Gabriel Input/output (EP), an EP 2003 by The Letterpress I/O (Visual novel), a visual novel of Japanese science fiction by Regista I/O, an album 2004 by the Canadian rock group Limblifter I/O model, a model of calculation Input/output a contemporary Christian song for children on the Bill Gaither Trio LP 1984 entitled (Ten New Songs With Kids... For Kids About) Life See also IO (disambiguation) Google I/O","I/O can refer to: Input/output, a communication system for information processing systems Input-output model, an economic model for flow prediction between sectors Industrial and organizational psychology, the field of psychology that studies the work environment Industrial organization, the field of economy that studies business behaviour I/O (album album), a forthcoming album by Peter Gabriel Input/output (EP), a 2003 EP by The Letterpress I/O (Visual novel), a visual novel of Japanese science fiction by Regista I/O, a 2004 album by the Canadian rock band Limblifter I/O model, a model of calculation Input/output a contemporary Christian song for children on the 1984 Bill Gaither Trio LP entitled (Ten New Songs With Kids... For Kids About) Life See also IO (disambiguation) Google I/O"
"(EW.com) -- Monday's Emmy tribute to Robin Williams will be presented by a fellow famed actor-comedian: Billy Crystal. Executive producer Don Mischer announced the programming decision on Tuesday morning, having previously promised that the award ceremony would honor the late performer with ""the proper and meaningful remembrance he so well deserves."" Williams will be honored during the ""In Memoriam"" portion of the show. Sara Bareilles will handle the musical accompaniment to the segment. Bareilles recently dedicated her song ""Hercules"" to Williams (though the song choice for the segment has not yet been announced). Last year, Williams honored Jonathan Winters during the same Emmy segment. The 63-year-old was found dead in his home on August 11. The 66th Primetime Emmy Awards airs August 25 on NBC. Complete coverage on Robin Williams . CLICK HERE to Try 2 RISK FREE issues of Entertainment Weekly . © 2011 Entertainment Weekly and Time Inc. All rights reserved.","(EW.com) -- Monday's Emmy tribute to Robin Williams will be presented by a renowned comedian: Billy Crystal. Executive producer Don Mischer announced the programming decision on Tuesday morning, after promising that the award ceremony would honour the last performer with ""the appropriate and meaningful memory that he deserves so well."" Williams will be honoured during the ""In Memoriam"" part of the show. Sara Bareilles will take care of the musical accompaniment of the segment. Bareilles recently dedicated her song ""Hercules"" to Williams (although the choice of the song for the segment has not yet been announced). Last year, Williams honored Jonathan Winters during the same Emmy segment. 63 years were found dead in her home on August 11. The 66th Primetime Emmy Awards is aired on August 25th on NBC.","(EW.com) -- Monday's Emmy tribute to Robin Williams will be presented by a renowned comedian: Billy Crystal. Executive producer Don Mischer announced the programming decision on Tuesday morning, after promising that the award ceremony would honour the last performer with ""the appropriate and meaningful memory he deserves so well."" Williams will be honoured during the ""In Memoriam"" part of the show. Sara Bareilles will take care of the musical accompaniment of the segment. Bareilles recently dedicated her song ""Hercules"" to Williams (although the choice of the song for the segment has not yet been announced). Last year, Williams honored Jonathan Winters during the same Emmy segment. 63 years was found dead in her home on August 11. The 66th Primetime Emmy Awards is aired on August 25th on NBC.","(EW.com) -- Monday's Emmy tribute to Robin Williams will be presented by a renowned comedian actor: Billy Crystal. Executive producer Don Mischer announced the programming decision on Tuesday morning, after promising that the award ceremony would honour the late performer with ""the appropriate and meaningful memory that he deserves so well."" Williams will be honoured during the ""In Memoriam"" part of the show. Sara Bareilles will take care of the musical accompaniment of the segment. Bareilles recently dedicated her song ""Hercules"" to Williams (although the choice of the song for the segment has not yet been announced). Last year, Williams honored Jonathan Winters during the same Emmy segment. 63-year-old was found dead in her home on August 11. The 66th Primetime Emmy Awards is aired on August 25th on NBC."
"Foreigner, Foreigners or The Foreigner may refer to: Alien (law), a person in a country who has fewer rights than a citizen or national. Music Foreigner (band), an English-American rock band Foreigner (Foreigner album), their 1977 debut album Foreigner (Cat Stevens album), 1973 Literature Foreigner (comics), a Marvel Comics villain Foreigner (Cherryh novel), a 1994 novel set in C. J. Cherryh's Foreigner universe Foreigner (Sawyer novel), a 1994 novel in the Quintaglio Ascension Trilogy by Robert J. Sawyer The Foreigner (novel), a 2008 novel by Francie Lin Film and theatre The Foreigner (1921 film), an American silent film also known as God's Crucible Foreigners (film), a 1972 Swedish film The Foreigner (2003 film), an action film starring Steven Seagal The Foreigner (2017 film), an action-thriller film starring Jackie Chan The Foreigner (play), a 1984 play by Larry Shue Foreigners, a play by Frederick Lonsdale Journalism The Foreigner (newspaper), an online English-language newspaper in Norway See also Foreigners' Street, a Chinese amusement park in Chongqing Stranger","Foreigner, Foreigners or The Foreigner may refer to: Alien (law), a person in a country that has less rights than a citizen or a national. Music Foreigner (band), an English-American rock band Foreigner (foreign album), their first 1977 album Foreigner (cat Stevens album), 1973 Literature Foreigner (comics), a Marvel Comics vilain Foreigner (Romania Cherryh), a 1994 novel in the universe Foreigner (Romania Sawyer), a 1994 novel in the Quintaglio Ascension Trilogy by Robert J. Sawyer The Foreigner (new), a novel by Francie Lin Film and Theatre The Foreigner (1921), an American silent film also known as God's Crucible Foreigners (film), a 1972 Swedish film The Foreigner (2003 film), an action film with Steven Seagal The Foreigner (2017), a play by Franke Street, a play by Franke Street, a play by Franke Street, a play by Franke Street, a play by Franke Street","Foreigner, Foreigners or The Foreigner may refer to: Alien (law), a person in a country that has less rights than a citizen or a national. Music Foreigner (band), an English-American rock band Foreigner (foreign album), their first 1977 album Foreigner (cat Stevens album), 1973 Literature Foreigner (comics), a Marvel Comics vilain Foreigner (Romania Cherryh), a 1994 novel in the universe Foreigner (Romania Sawyer), a 1994 novel in the Quintaglio Ascension Trilogy by Robert J. Sawyer The Foreigner (new), a novel by Francie Lin Film and Theatre The Foreigner (1921), an American silent film also known as God's Crucible Foreigners (film), a 1972 Swedish film The Foreigner (2003 film), an action film with Steven Seagal The Foreigner (2017), a play by Franke Street, a play by Franke Street, a play by Franke Street, a play by Franke Street","Foreigner, Foreigners or The Foreigner may refer to: Alien (law), a person in a country that has less rights than a citizen or a national. Music Foreigner (bande), an English-American rock band Foreigner (foreigner album), their first 1977 album Foreigner (cat Stevens album), 1973 Literature Foreigner (comics), a Marvel Comics vilain Foreigner (Romania Cherryh), a 1994 novel in the universe Foreigner (Romania Sawyer), a 1994 novel in the Quintaglio Ascension Trilogy by Robert J. Sawyer The Foreigner (new), a novel by Francie Lin Film and Theatre The Foreigner (1921), an American silent film also known as God's Crucible Foreigners (film), a 1972 Swedish film The Foreigner (2003 film), an action film with Steven Seagal The Foreigner (2017), a play by Franke Street Ligne, a play by Franke Street, a play by Franke Street Ligne, a play by Franke"
"By . Sami Mokbel for MailOnline . On the move: Ignasi Miquel will join Norwich . Arsenal are set to accept a £1.5million offer from Norwich for defender Ignasi Miquel. The Spaniard has struggled to establish himself in the Gunners' first-team and has been told he can leave the Emirates Stadium ahead of Monday's transfer deadline. Manager Arsene Wenger has been forced into rethinking his plan to offload Miquel this summer following the departure of Thomas Vermaelen. The Belgian's exit has left Arsenal short of central-defensive cover, nevertheless the decision has been taken to allow the 21-year-old to leave. It was originally though Miquel's protracted move to Carrow Road would be on loan, but it is understood the Canaries want to take him on a permanent deal. The news means that Arsenal are almost certain to sign a new defender before the transfer window closes on Monday. They have seen attempts to sign Kostas Manolas fail after the Greek defender joined Roma. Arsenal are now weighing up a move for Borussia Dortmund defender Sokratis Papastathopoulos.","By . Sami Mokbel for MailOnline . On the move: Ignasi Miquel will join Norwich . Arsenal will accept an offer of 1.5 million pounds of Norwich for the defender Ignasi Miquel. The Spaniard fought to settle in the first team of Gunners and was informed that he could leave the Emirates stadium before the deadline for Monday's transfer. Director Arsene Wenger was forced to rethink his plan to unload Miquel this summer after Thomas Vermaelen's departure. The Belgian exit left Arsenal under the cover of the central defense, but the decision was made to allow the child to leave.","By . Sami Mokbel for MailOnline . On the move: Ignasi Miquel will join Norwich . Arsenal will accept an offer of 1.5 million pounds of Norwich for the defender Ignasi Miquel. The Spaniard fought to settle in the first team of Gunners and was informed that he could leave the Emirates stadium before the deadline for Monday's transfer. Director Arsene Wenger was forced to rethink his plan to unload Miquel this summer after Thomas Vermaelen's departure. The Belgian exit left Arsenal under the cover of the central defense, but the decision was made to allow the child to leave.","By . Sami Mokbel for MailOnline . On the move: Ignasi Miquel will join Norwich . Arsenal will accept an offer of 1.5 million pounds of Norwich for the defender Ignasi Miquel. The Spaniard fought to settle in the first Gunners team and was informed that he could leave the Emirates stadium before the deadline for Monday transfer. Director Arsene Wenger was forced to rethink his plan to unload Miquel this summer following the departure of Thomas Vermaelen. The Belgian exit left Arsenal below the central defence cover, but the decision was made to allow the 21-year-old child to leave."
"The 1190s BC is a decade which lasted from 1199 BC to 1190 BC. Events and trends 1197 BC—The beginning of the first period (1197 BC–982 BC) according to Sau Yung's concept of the I Ching and history. 1194 BC—The beginning of the legendary Trojan War. 1192 BC—Wu Ding, king of the Shang dynasty, dies in the fifty-ninth year of his reign, and is succeeded by his son Zu Geng. 1191 BC—Menestheus, legendary King of Athens, dies during the Trojan War after a reign of 23 years and is succeeded by his nephew Demophon, a son of Theseus. Other accounts place his death a decade later and shortly after the Trojan War (see 1180s BC). Significant people Amenemses, Pharaoh of the Nineteenth Dynasty of Egypt (1202 BC–1199 BC) 1190s BC","1194 B.C.—The beginning of the legendary Trojan War. 1192 B.C.—Wu Ding, king of the Shang Dynasty, died in the fifty-ninth year of his reign and was replaced by his son Zu Geng. 1191 B.C.—Menesheus, legendary king of Athens, died during the Trojan War after a 23-year reign and was replaced by his nephew Demophon, son of Thesée. Other accounts made his death a decade later and shortly after the Trojan War (see 1180 B.C.).","1194 B.C.—The beginning of the legendary Trojan War. 1192 B.C.—Wu Ding, king of the Shang Dynasty, died in the fifty-ninth year of his reign and was replaced by his son Zu Geng. 1191 B.C.—Menesheus, legendary king of Athens, died during the Trojan War after a 23-year reign and was replaced by his nephew Demophon, son of Thesée. Other accounts made his death a decade later and shortly after the Trojan War (see 1180 B.C.).","1194 B.C.—The beginning of the legendary Trojan War. 1192 B.C.—Wu Ding, king of the Shang dynasty, died in the fifty-ninth year of his reign, and was replaced by his son Zu Geng. 1191 B.C.—Menesheus, legendary king of Athens, died during the Trojan War after a 23-year reign and was replaced by his nephew Demophon, son of Theseus. Other accounts put his death a decade later and shortly after the Trojan War (see 1180 B.C.). Important Persons Amends, Pharaoh of the nineteenth dynasty of Egypt (1202 B.C.-1199 B.C.) 1190 B.C."
"shell galaxies are considered the debris of recent accretion / merging episodes . their high frequency in low density environments suggest that such episodes could drive the secular evolution for at least some fraction of the early - type galaxy population . we present here the preliminary results of ultraviolet and x - ray data for a sample of three shell galaxies , namely ngc 474 , ngc 7070a and eso 2400100 . the far uv morphology and photometry are derived using the observations obtained with the _ galaxy evolution explorer _ and the xmm-_newton _ optical monitor . we aim at investigating the _ rejuvenation _ processes in the stellar population using the uv information as well as at gaining information about the possible evolution with time of the x - ray emission due interaction / merging processes .","The galaxies on a scale are considered debris from recent accretion or fusion episodes . their high frequency in low-density environments suggests that such episodes could lead to a secular evolution for at least a fraction of the population of early-type galaxies . Here, we present the preliminary results of ultraviolet and X-ray data for a sample of three galaxies on a scale , i.e. gc 474 , gc 7070a and eso 2400100 . Morphology and photometry uv are derived using observations obtained with the explorer of the evolution of the galaxy _ and the optical monitor xmm-_newton . we aim to study the processes _ rejuvenation _ in the stellar population using uv information as well as to obtain information on the possible evolution over time of the interaction / fusion processes of X-ray emissions .","The galaxies on a scale are considered debris from recent accretion or fusion episodes . their high frequency in low-density environments suggests that such episodes could lead to a secular evolution for at least a fraction of the population of early-type galaxies . Here, we present the preliminary results of ultraviolet and X-ray data for a sample of three galaxies on a scale , i.e. ngc 474 , ngc 7070a and eso 2400100 . Morphology and photometry uv are derived using observations obtained with the explorer of the evolution of the galaxy _ and the optical monitor xmm-_newton . we aim to study the processes _ rejuvenation _ in the stellar population using uv information as well as to obtain information on the possible evolution over time of the interaction / fusion processes of X-ray emissions .","Scale galaxies are considered debris from recent accretion or fusion episodes . their high frequency in low-density environments suggests that such episodes could lead to secular evolution for at least a fraction of the population of early-type galaxies . Here we present preliminary results of ultraviolet and x-ray data for a sample of three scale galaxies , namely ngc 474 , ngc 7070a and eso 2400100 . far morphology and photometry uv are derived using observations obtained with the evolution explorer of the galaxy _ and the xmm-_newton optical monitor . we aim to study the processes _ rejuvenation _ in the stellar population using uv information as well as to obtain information on the possible evolution over time of the x-ray emission interaction / fusion processes ."
"Bad spellers will rejoice at the autocorrect function on our smartphones. But without total concentration, it has a sneaky habit of twisting your words into something rather rude - even during the season of goodwill. From kissing under the camel toe, to threatening to take the kids to see Satan, damnyouautocorrect.com has put together a collection of text message showing some of the funniest autocorrects sent over the festive period.","Spelling errors will delight the auto-corrected function on our smartphones. But without total concentration, it has a sneaky habit of turning your words into something rather rude - even during the season of good will. Kissing under the camel's toe, threatening to take the children to see Satan, Damnyouautocorriger.com has set up a collection of SMS showing some of the funniest self-corrected sent during the festive period.","Spelling errors will delight the self-corrected function on our smartphones. But without total concentration, it has a sneaky habit of turning your words into something rather rude - even during the season of good will. Kissing under the camel's toe, threatening to take the children to see Satan, Damnyouautocorriger.com has set up a collection of SMS showing some of the funniest self-corrected sent during the festive period.","The bad spellings will rejoice at the autocorrected function on our smartphones. But without total concentration, it has a sneaky habit of turning your words into something rather rude - even during the season of good will. Kissing under the camel's toe, threatening to take the children to see Satan, Damnyouautocorriger.com has set up a collection of SMS showing some of the funniest autocorrected sent during the festive period."
"Stovner is a borough located to the far north east of the city of Oslo, Norway. Historically, Stovner was the name of a farm in the municipal borough ""Østre Aker"". Østre Aker merged with Oslo in 1948, both instigated and followed by a massive expansion of the city settlement. Today's Stovner borough is constructed atop the home fields of the Stovner farm, the first record of which dates back to the 14th century, as well as on the fields of several other farms that were situated in the area covered by the borough. The bulk of the modern high-rise structures were built by Selvaag and completed in the first half of the 1970s, together with several schools, a subway line into central Oslo, and an administrative center for the borough. The last three stations of Grorudbanen — Rommen, Stovner and Vestli — are in the Stovner borough. Stovner is the borough in Oslo and Norway with the highest density of immigrants. The proportion of newborns with an immigrant background was per. 2017 at 80%. References Boroughs of Oslo Ethnic enclaves in Norway","Stovner is a district located in the far northeast of the city of Oslo, Norway. Historically, Stovner was the name of a farm in the municipal district ""Østre Aker"". Østre Aker merged with Oslo in 1948, both initiated and followed by a massive expansion of the city. Today, the district of Stovner is built at the top of the fields of residence of the farm Stovner, whose first record dates back to the 14th century, as well as on the fields of several other farms that were located in the area covered by the district. Most of the modern structures were built by Selvaag and completed in the first half of the 1970s, with several schools, a metro line in the center of Oslo, and an administrative center for the district. The last three stations of Grorudbanen - Rommen, Stovner and Vestli - are in the district of Stovner. Stovner is the district of Oslo and Norway with the highest density of immigrants.","Stovner is a district in the far northeast of the city of Oslo, Norway. Historically, Stovner was the name of a farm in the municipal district ""Østre Aker"". Østre Aker merged with Oslo in 1948, both initiated and followed by a massive expansion of the city. Today, the Stovner district is built at the top of the fields of residence of the Stovner farm, whose first record dates back to the 14th century, as well as on the fields of several other farms that were located in the area covered by the district. Most of the modern structures were built by Selvaag and completed in the first half of the 1970s, with several schools, a metro line in the centre of Oslo, and an administrative center for the district. The last three stations of Grorudbanen — Rommen, Stovner and Vestli — are in the district of Stovner. Stovner is the district of Oslo and Norway with the highest density of immigrants.","Stovner is a district located in the far northeast of the city of Oslo, Norway. Historically, Stovner was the name of a farm in the municipal district ""Østre Aker"". Østre Aker merged with Oslo in 1948, both instigated and followed by a massive expansion of the city. Today, the district of Stovner is built at the top of the fields of residence of the Stovner farm, whose first record dates back to the 14th century, as well as on the fields of several other farms that were located in the area covered by the district. Most of the modern structures were built by Selvaag and completed in the first half of the 1970s, with several schools, a metro line in the centre of Oslo, and an administrative center for the district. The last three stations of Grorudbanen — Rommen, Stovner and Vestli — are in the district of Stovner. Stovner is the district of Oslo and Norway with the highest density of immigrants."
"Breguet or Bréguet may refer to: Breguet (watch), watch manufacturer Abraham-Louis Breguet (1747–1823), Swiss watchmaker Louis-François-Clement Breguet (1804–1883), French physicist, watchmaker, electrical and telegraph work Bréguet Aviation, a defunct French aircraft manufacturer Louis Charles Bréguet (1880–1955), French airplane designer Breguet School, now known as École supérieure d'ingénieurs en électronique et électrotechnique (ESIEE)","Breguet (horlogerie), Abraham-Louis Breguet (1747–1823), the Swiss watchmaker Louis-François-Clement Breguet (1804–83), the physicist, watchmaker, electrician and telegrapher Bréguet Aviation, the late French aeronautical manufacturer Louis Charles Bréguet (1880–1955), the École de conception aéronautique française Breguet, now known as the École supérieure d'ingénieurs en électronique et électronique (ESIEE)","Breguet (horlogerie), Abraham-Louis Breguet (1747–1823), the Swiss watchmaker Louis-François-Clement Breguet (1804–83), the French physicist, watchmaker, electrician and telegrapher Bréguet Aviation, the late French aeronautical manufacturer Louis Charles Bréguet (1880–1955), the French aeronautical designer Breguet School, now known as the École supérieure d'ingénieurs en électronique et électronique (ESIEE)","Breguet (horlogerie), Abraham-Louis Breguet (1747–1823), the Swiss watchmaker Louis-François-Clement Breguet (1804–83), the French physicist, watchmaker, electrician and telegrapher Bréguet Aviation, a late French aeronautical manufacturer Louis Charles Bréguet (1880–1955), the French aeronautical designer Breguet School, now known as the École supérieure d'ingénieurs en électronique et électronique (ESIEE)"
