"original_text","simplified_kindergarten","simplified_primary_school","simplified_secondary_school"
"at existing and planned neutrino factories ( high energy and high intensity neutrino beam facilities ) precision studies of qcd in neutrino - nucleon interactions are a realistic opportunity . we investigate charmonium production in fixed target neutrino experiments . we find that @xmath0 production in neutrino - nucleon collision is dominated by the color octet @xmath1 nrqcd matrix element in a neutral current process , which is not accessible in photo or leptoproduction . neutrino experiments at a future muon collider will acquire sufficient event rate to accurately measure color octet matrix element contributions . the currently running high energy neutrino experiments nomad and nutev could also observe several such events .","at existing and planned neutrino factories ( high energy and high intensity neutrino beam facilities","at existing and planned neutrino factories ( high energy and high intensity neutrino beam facilities","at existing and planned neutrino factories ( high energy and high intensity neutrino beam facilities"
"I/O may refer to: Input/output, a system of communication for information processing systems Input–output model, an economic model of flow prediction between sectors Industrial and organizational psychology, the field of psychology that studies the workplace Industrial organization, the field of economics that studies the behavior of firms I/O (album), an upcoming album by Peter Gabriel Input/Output (EP), a 2003 EP by The Letterpress I/O (visual novel), a Japanese science fiction visual novel by Regista I/O, a 2004 album by the Canadian rock band Limblifter I/O model, a model of computation Input/Output a contemporary Christian children's song on the 1984 Bill Gaither Trio LP entitled (Ten New Songs With Kids...For Kids About) Life See also IO (disambiguation) Google I/O","I/O may refer to: Input/output, a system of communication for information","I/O may refer to: Input/output, a system of communication for information","I/O may refer to: Input/output, a system of communication for information"
"(EW.com) -- Monday's Emmy tribute to Robin Williams will be presented by a fellow famed actor-comedian: Billy Crystal. Executive producer Don Mischer announced the programming decision on Tuesday morning, having previously promised that the award ceremony would honor the late performer with ""the proper and meaningful remembrance he so well deserves."" Williams will be honored during the ""In Memoriam"" portion of the show. Sara Bareilles will handle the musical accompaniment to the segment. Bareilles recently dedicated her song ""Hercules"" to Williams (though the song choice for the segment has not yet been announced). Last year, Williams honored Jonathan Winters during the same Emmy segment. The 63-year-old was found dead in his home on August 11. The 66th Primetime Emmy Awards airs August 25 on NBC. Complete coverage on Robin Williams . CLICK HERE to Try 2 RISK FREE issues of Entertainment Weekly . © 2011 Entertainment Weekly and Time Inc. All rights reserved.","the award ceremony will honor the late performer with ""the proper and meaningful remembrance","the award ceremony will honor the late performer with ""the proper and meaningful remembrance","the award ceremony will honor the late performer with ""the proper and meaningful remembrance"
"Foreigner, Foreigners or The Foreigner may refer to: Alien (law), a person in a country who has fewer rights than a citizen or national. Music Foreigner (band), an English-American rock band Foreigner (Foreigner album), their 1977 debut album Foreigner (Cat Stevens album), 1973 Literature Foreigner (comics), a Marvel Comics villain Foreigner (Cherryh novel), a 1994 novel set in C. J. Cherryh's Foreigner universe Foreigner (Sawyer novel), a 1994 novel in the Quintaglio Ascension Trilogy by Robert J. Sawyer The Foreigner (novel), a 2008 novel by Francie Lin Film and theatre The Foreigner (1921 film), an American silent film also known as God's Crucible Foreigners (film), a 1972 Swedish film The Foreigner (2003 film), an action film starring Steven Seagal The Foreigner (2017 film), an action-thriller film starring Jackie Chan The Foreigner (play), a 1984 play by Larry Shue Foreigners, a play by Frederick Lonsdale Journalism The Foreigner (newspaper), an online English-language newspaper in Norway See also Foreigners' Street, a Chinese amusement park in Chongqing Stranger","foreigner, foreigners or The Foreigner may refer to a person in a country who","foreigner, foreigners or The Foreigner may refer to a person in a country who","foreigner, foreigners or The Foreigner may refer to a person in a country who"
"By . Sami Mokbel for MailOnline . On the move: Ignasi Miquel will join Norwich . Arsenal are set to accept a £1.5million offer from Norwich for defender Ignasi Miquel. The Spaniard has struggled to establish himself in the Gunners' first-team and has been told he can leave the Emirates Stadium ahead of Monday's transfer deadline. Manager Arsene Wenger has been forced into rethinking his plan to offload Miquel this summer following the departure of Thomas Vermaelen. The Belgian's exit has left Arsenal short of central-defensive cover, nevertheless the decision has been taken to allow the 21-year-old to leave. It was originally though Miquel's protracted move to Carrow Road would be on loan, but it is understood the Canaries want to take him on a permanent deal. The news means that Arsenal are almost certain to sign a new defender before the transfer window closes on Monday. They have seen attempts to sign Kostas Manolas fail after the Greek defender joined Roma. Arsenal are now weighing up a move for Borussia Dortmund defender Sokratis Papastathopoulos.","Ignasi Miquel has struggled to establish himself in the Gunners' first-","Ignasi Miquel has struggled to establish himself in the Gunners' first-","Ignasi Miquel has struggled to establish himself in the Gunners' first-"
"The 1190s BC is a decade which lasted from 1199 BC to 1190 BC. Events and trends 1197 BC—The beginning of the first period (1197 BC–982 BC) according to Sau Yung's concept of the I Ching and history. 1194 BC—The beginning of the legendary Trojan War. 1192 BC—Wu Ding, king of the Shang dynasty, dies in the fifty-ninth year of his reign, and is succeeded by his son Zu Geng. 1191 BC—Menestheus, legendary King of Athens, dies during the Trojan War after a reign of 23 years and is succeeded by his nephew Demophon, a son of Theseus. Other accounts place his death a decade later and shortly after the Trojan War (see 1180s BC). Significant people Amenemses, Pharaoh of the Nineteenth Dynasty of Egypt (1202 BC–1199 BC) 1190s BC","1194 BC—The beginning of the first period (1197 BC–982 BC).","1194 BC—The beginning of the first period (1197 BC–982 BC).","1194 BC—The beginning of the first period (1197 BC–982 BC)."
"shell galaxies are considered the debris of recent accretion / merging episodes . their high frequency in low density environments suggest that such episodes could drive the secular evolution for at least some fraction of the early - type galaxy population . we present here the preliminary results of ultraviolet and x - ray data for a sample of three shell galaxies , namely ngc 474 , ngc 7070a and eso 2400100 . the far uv morphology and photometry are derived using the observations obtained with the _ galaxy evolution explorer _ and the xmm-_newton _ optical monitor . we aim at investigating the _ rejuvenation _ processes in the stellar population using the uv information as well as at gaining information about the possible evolution with time of the x - ray emission due interaction / merging processes .","shell galaxies are considered the debris of recent accretion / merging episodes","shell galaxies are considered the debris of recent accretion / merging episodes","shell galaxies are considered the debris of recent accretion / merging episodes"
"Bad spellers will rejoice at the autocorrect function on our smartphones. But without total concentration, it has a sneaky habit of twisting your words into something rather rude - even during the season of goodwill. From kissing under the camel toe, to threatening to take the kids to see Satan, damnyouautocorrect.com has put together a collection of text message showing some of the funniest autocorrects sent over the festive period.","damnyouautocorrect.com has put together a collection of text messages. the autocorrect","damnyouautocorrect.com has put together a collection of text messages. the autocorrect","damnyouautocorrect.com has put together a collection of text messages. the autocorrect"
"Stovner is a borough located to the far north east of the city of Oslo, Norway. Historically, Stovner was the name of a farm in the municipal borough ""Østre Aker"". Østre Aker merged with Oslo in 1948, both instigated and followed by a massive expansion of the city settlement. Today's Stovner borough is constructed atop the home fields of the Stovner farm, the first record of which dates back to the 14th century, as well as on the fields of several other farms that were situated in the area covered by the borough. The bulk of the modern high-rise structures were built by Selvaag and completed in the first half of the 1970s, together with several schools, a subway line into central Oslo, and an administrative center for the borough. The last three stations of Grorudbanen — Rommen, Stovner and Vestli — are in the Stovner borough. Stovner is the borough in Oslo and Norway with the highest density of immigrants. The proportion of newborns with an immigrant background was per. 2017 at 80%. References Boroughs of Oslo Ethnic enclaves in Norway","Stovner is a borough located to the far north east of the city of Oslo,","Stovner is a borough located to the far north east of the city of Oslo,","Stovner is a borough located to the far north east of the city of Oslo,"
"Breguet or Bréguet may refer to: Breguet (watch), watch manufacturer Abraham-Louis Breguet (1747–1823), Swiss watchmaker Louis-François-Clement Breguet (1804–1883), French physicist, watchmaker, electrical and telegraph work Bréguet Aviation, a defunct French aircraft manufacturer Louis Charles Bréguet (1880–1955), French airplane designer Breguet School, now known as École supérieure d'ingénieurs en électronique et électrotechnique (ESIEE)","physicist, watchmaker, electrical and telegraph work. ed","physicist, watchmaker, electrical and telegraph work. ed","physicist, watchmaker, electrical and telegraph work. ed"
"we consider the security of practical continuous - variable quantum key distribution implementation with the local oscillator ( lo ) fluctuating in time , which opens a loophole for eve to intercept the secret key . we show that eve can simulate this fluctuation to hide her gaussian collective attack by reducing the intensity of the lo . numerical simulations demonstrate that , if bob does not monitor the lo intensity and does not scale his measurements with the instantaneous intensity values of lo , the secret key rate will be compromised severely .","eve can simulate a fluctuation by reducing the intensity of the lo.","eve can simulate a fluctuation by reducing the intensity of the lo.","eve can simulate a fluctuation by reducing the intensity of the lo."
"North Ballston Spa is a census-designated place (CDP) within the town of Milton in Saratoga County, New York, United States. As of the 2010 census, it had a population of 1,338. The CDP is southwest of the center of Saratoga County, in the southeastern corner of the town of Milton. It is bordered to the south by the village of Ballston Spa, the Saratoga county seat; to the north by the Milton CDP; and to the east by the city of Saratoga Springs, the largest city in the county. New York State Route 50 runs through North Ballston Spa, connecting Ballston Spa and Saratoga Springs. References Census-designated places in Saratoga County, New York Census-designated places in New York (state)","north ballston spa is a census-designated place within the town of Milton. the","north ballston spa is a census-designated place within the town of Milton. the","north ballston spa is a census-designated place within the town of Milton. the"
"Chimp or chimpanzee is a species of great ape native to the forests and savannas of tropical Africa. Chimp(s) or The Chimp may also refer to: The Chimp (1932 film), a Laurel and Hardy short film Chimps: So Like Us, a 1980 documentary film The Chimp (2001 film), a Kyrgyz film Chimps Inc., an animal sanctuary in Oregon, United States See also or or Chimpanzee (disambiguation)","the Chimp is a species of great ape native to the forests and sa","the Chimp is a species of great ape native to the forests and sa","the Chimp is a species of great ape native to the forests and sa"
"Vara Municipality (Vara kommun) is a municipality in Västra Götaland County in western Sweden. Its seat is located in the town of Vara. The present municipality consists of 25 original local government entities (as of 1863). Between 1974 and 1982 the territory of present Essunga Municipality was also included. Districts Bitterna Edsvära Eling Fyrunga Hällum Jung Kvänum Larv Laske-Vedum Levene Long Längjum Naum Norra Vånga Ryda Skarstad Slädene Sparlösa Södra Kedum Södra Lundby Tråvad Vara Önum Öttum References External links Vara Municipality - Official site Municipalities of Västra Götaland County Skaraborg","Vara Municipality is a municipality in Västra Götaland County in western Sweden","Vara Municipality is a municipality in Västra Götaland County in western Sweden","Vara Municipality is a municipality in Västra Götaland County in western Sweden"
"Puffing Billy may refer to: Puffing Billy Railway, a narrow-gauge heritage tourist railway near Melbourne, Australia Puffing Billy (locomotive), an early steam locomotive Puffing Billy Tournament, a board game convention focusing on train games Puffin' Billy, a famous piece of light music by Edward White Puffing Billy, military jargon for the M67 Immersion Heater Puffing Billy a short lived comic strip in The Beano about a fat boy called Billy.","a railway near Melbourne, Australia, is a tourist railway. the railway is a","a railway near Melbourne, Australia, is a tourist railway. the railway is a","a railway near Melbourne, Australia, is a tourist railway. the railway is a"
"Year 346 (CCCXLVI) was a common year starting on Wednesday (link will display the full calendar) of the Julian calendar. In the Roman Empire, it was known as the Year of the Consulship of Constantius and Claudius (or, less frequently, year 1099 Ab urbe condita). The denomination 346 for this year has been used since the early medieval period, when the Anno Domini calendar era became the prevalent method in Europe for naming years. Events By place Asia In Korea, the Buyeo Kingdom is absorbed by Goguryeo. Geunchogo becomes king of the Korean kingdom of Baekje. By topic Religion Emperor Constans I uses his influence to secure the return of Athanasius. He is restored as Patriarch of Alexandria, and documents are compiled relating to his expulsion, under the title Apology Against the Arians. Macedonius I, Patriarch of Constantinople, is deposed again by Paul I. Julius Firmicus Maternus writes De erroribus profanarum religionum. The Visigoths are converted to Arianism by Wulfila. Births Zhang Tianxi, Chinese ruler of Former Liang (d. 406) Deaths He Chong (or Cidao), Chinese politician (b. 292) Maximin of Trier, German bishop (approximate date) Zhang Jun (or Gongting), Chinese prince (b. 307) References","year 346 was a common year starting on Wednesday. it was known as the Year of","year 346 was a common year starting on Wednesday. it was known as the Year of","year 346 was a common year starting on Wednesday. it was known as the Year of"
"in this work , we propose a new local optimization method to solve a class of nonconvex semidefinite programming ( sdp ) problems . the basic idea is to approximate the feasible set of the nonconvex sdp problem by inner positive semidefinite convex approximations via a parameterization technique . this leads to an iterative procedure to search a local optimum of the nonconvex problem . the convergence of the algorithm is analyzed under mild assumptions . applications in static output feedback control are benchmarked and numerical tests are implemented based on the data from the compl@xmath0ib library .","in this work, we propose a new local optimization method to solve a class of non","in this work, we propose a new local optimization method to solve a class of non","in this work, we propose a new local optimization method to solve a class of non"
"cosmic string networks generate cosmological perturbations actively throughout the history of the universe . thus , the string sourced anisotropy of the cosmic microwave background is not affected by silk damping as much as the anisotropy seeded by inflation . the spectrum of perturbations generated by strings does not match the observed cmb spectrum on large angular scales ( @xmath0 ) and is bounded to contribute no more than @xmath1 of the total power on those scales . however , when this bound is marginally saturated , the anisotropy created by cosmic strings on small angular scales @xmath2 will dominate over that created by the primary inflationary perturbations . this range of angular scales in the cmb is presently being measured by a number of experiments ; their results will test this prediction of cosmic string networks soon .","cosmic string networks generate cosmological perturbations actively throughout the history of the universe. thus,","cosmic string networks generate cosmological perturbations actively throughout the history of the universe. thus,","cosmic string networks generate cosmological perturbations actively throughout the history of the universe. thus,"
"A double-decker is a vehicle that has two levels for passengers or cargo, one deck above the other. Such vehicles include: Aerial tramway Bilevel rail car a rail passenger vehicle consisting of 2 levels Bombardier BiLevel Coach Bombardier MultiLevel Coach Dome car Double-deck aircraft Double-deck elevator Double-decker bus Double-decker tram Superliner (railcar) Autorack (US) or car transporter (UK), a railway vehicle for transporting cars or other road vehicles Car carrier trailer or auto carrier, a road trailer for transporting cars or other road vehicles Two-decker is a sailing ship with 2 decks armed with cannon. A double-decker may also refer to: Double Decker (chocolate bar) Double-decker sandwich, such as a club sandwich or Dagwood sandwich, with two layers of meat and condiments sandwiched between three pieces of bread A multi-level roadway such as those found in Chicago A multi-level bridge A double-decker outhouse Double Decker, a 1987 Hong Kong film Double Decker (2011 film), a 2011 Kannada-language film Double Decker! Doug & Kirill, a 2018 Japanese anime series","double-decker is a sailing ship with 2 decks armed with cannon","double-decker is a sailing ship with 2 decks armed with cannon","double-decker is a sailing ship with 2 decks armed with cannon"
"Holiday is a 1930 American pre-Code romantic comedy film which tells the story of a young man who is torn between his free-thinking lifestyle and the tradition of his wealthy fiancée's family. It stars Ann Harding, Mary Astor, Edward Everett Horton, Robert Ames and Hedda Hopper. It was produced and released by Pathé Exchange. The film was adapted by Horace Jackson from the 1928 play by Philip Barry. It was directed by Edward H. Griffith. Cast Award nominations It was nominated for Academy Awards for Best Actress in a Leading Role (Ann Harding) and Best Writing, Adaptation. Remake The film was remade in 1938. Directed by George Cukor, it starred Katharine Hepburn and Cary Grant, with Horton reprising his role as Professor Nick Potter from the 1930 version. References External links 1930 films 1930s romantic comedy-drama films 1930s screwball comedy films American films American romantic comedy-drama films American screwball comedy films American black-and-white films English-language films American films based on plays American independent films Pathé Exchange films Films directed by Edward H. Griffith 1930s independent films","holiday is a 1930s romantic comedy film based on plays of his wealthy fiancée","holiday is a 1930s romantic comedy film based on plays of his wealthy fiancée","holiday is a 1930s romantic comedy film based on plays of his wealthy fiancée"
"the central two - pion exchange @xmath0 potential at large distances is studied in the framework of relativistic chiral symmetry and related directly to the nucleon scalar form factor , which describes the mass density of its pion cloud . this relationship is well supported by phenomenology and allows the dependence of the asymptotic potential on the nucleon mass to be assessed . results in the heavy baryon limit are about 25% larger than those corresponding to the empirical nucleon mass in the region of physical interest . this indicates that it is very important to keep this mass finite in precise descriptions of the @xmath0 system and supports the efficacy of the relativistic chiral framework . one also estimates the contribution of subleading effects and presents a simple discussions of the role of the quark condensate in this problem . m.r . robilotta _ _","the central two - pion exchange @xmath0 potential at large distances is studied","the central two - pion exchange @xmath0 potential at large distances is studied","the central two - pion exchange @xmath0 potential at large distances is studied"
"Southampton have unveiled their new third kit ahead of Saturday's Premier League game with Newcastle. The bright yellow strip will be worn for the first time during the match at St. James' Park. It has been decided that both of the Saints' regular kits clash with the Magpies' home strip, meaning that the third kit, which is sponsored by MUVI, the camera series made by the club's main sponsor Veho, will get its first run out. James Ward-Prowse models Sothampton's new third kit ahead of Saturdays's game with Newcastle United . Ronald Koeman's side currently sit third in the Premier League table, as they vie to qualify for next season's Champions League. Newcastle, meanwhile, are tenth and still in the hunt for a new Head Coach after Alan Pardew joined Crystal Palace earlier this month. Southampton beat Newcastle 4-0 in the reverse of this fixture back in September. Left-back Matt Targett (left) and winger Eljero Elia (right) show off the new yellow and blue colour scheme .","the bright yellow strip will be worn for the first time during the match. it has been decided","the bright yellow strip will be worn for the first time during the match. it has been decided","the bright yellow strip will be worn for the first time during the match. it has been decided"
"we show that qed radiative corrections change the propagator of a charged dirac particle so that it acquires a fractional anomalous exponent connected with the fine structure constant . the result is a nonlocal object which represents a particle with a roughened trajectory whose fractal dimension can be calculated . this represents a significant shift from the traditional wigner notions of asymptotic states with sharp well - defined masses . non - abelian long - range fields are more difficult to handle , but we are able to calculate the effects due to newtonian gravitational corrections . we suggest a new approach to confinement in qcd based on a particle trajectory acquiring a fractal dimension which goes to zero in the infrared as a consequence of self - interaction , representing a particle which , in the infrared limit , can not propagate . pacs numbers : 12.20.-m,03.70.+k , 12.38.aw , 12.38.lg,05.45.df keyword : qed , theory of quantized fields , qcd , confinement , nonperturbative methods , fractals","we show that qed radiative corrections change the propagator of a charged di","we show that qed radiative corrections change the propagator of a charged di","we show that qed radiative corrections change the propagator of a charged di"
